Partlist exported from C:/Users/tiago/Documents/eagle/PHOBOS/EnsembleOne/EnsembleOne.sch at 05-05-2017 15:47

Qty Value         Device                  Package              Parts                                                   Description               MF                MPN     OC_FARNELL OC_NEWARK PROD_ID    SF_ID     VALUE        
2                 W237-103                W237-103             XIN, XOUT                                               WAGO SCREW CLAMP                            237-103 unknown    18M7116                                     
2                 W237-4                  W237-4               PWRIN, PWROUT                                           WAGO SCREW CLAMP                                    unknown    unknown                                     
12  0.1uF         CNP-C025-050X025        C025-050X025         C3, C6, C9, C12, C15, C18, C21, C24, C27, C30, C33, C36 NON-POLARIZED CAP                                                                                          
12  0.22uF        C5/3                    C5B3                 C2, C5, C8, C11, C14, C17, C20, C23, C26, C29, C32, C35 CAPACITOR                                                                                                  
4   100uF         CAP-MASTER_CP-E-020X050 CAP-MASTER_E-020X050 C13, C16, C19, C22                                      POLARIZED CAP                                                                                              
4   100uF         CP-E-020X050            E-020X050            C25, C28, C31, C34                                      POLARIZED CAP                                                                                              
12  1A/50V/1.1V   DIODE-KIT2              DIODE-1N4001-KIT     D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12       Diode                                                                    DIO-09176            1A/50V/1.1V  
12  1k            1KOHM-VERT-1/4W-1%      AXIAL-0.1            R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12       1kO resistor                                                             RES-12182            1k           
1   200mA/100V/1V DIODE-1N4148            DIODE-1N4148         D16                                                     Diode                                                                    DIO-08378            200mA/100V/1V
3   220           1KOHM-HORIZ-1/4W-5%     AXIAL-0.3            R16, R17, R19                                           1kO resistor                                                             RES-08380            1k           
4   220uF         CP-E-035X080            E-035X080            C1, C4, C7, C10                                         POLARIZED CAP                                                                                              
1   4K7           1KOHM-HORIZ-1/4W-5%     AXIAL-0.3            R18                                                     1kO resistor                                                             RES-08380            1k           
1   6N138         6N138                   DIL08                OK1                                                     MOTOROLA OPTO COUPLER     VISHAY/TELEFUNKEN 6N138   9860150    35K5294                                     
4   7806          78XXS                   78XXS                IC1, IC2, IC3, IC4                                      VOLTAGE REGULATOR                                                                                          
8   7815          78XXS                   78XXS                IC5, IC6, IC7, IC8, IC9, IC10, IC11, IC12               VOLTAGE REGULATOR                                                                                          
1   ARDUINO MEGA  ARDUINO_MEGA_R3FULL     ARDUINO_MEGA         B1                                                      Arduino Mega R3                                                                                            
4   IRF510        IRF520                  TO220BV              Q1, Q2, Q3, Q4                                          HEXFET Power MOSFET                                                                                        
4   RJ45          RJ45-8                  RJ45-8               A, B, C, D                                              RJ45 Jack - 8 pin                                                        CONN-08506 PRT-00643 RJ45         
4   TIP120        ROCKETFARM_TIP120V      ROCKETFARM_TO220AV   Q5, Q6, Q7, Q8                                          NPN DARLINGTON TRANSISTOR                                                                                  
4   TIP120        TIP120V                 TO220AV              Q9, Q10, Q11, Q12                                       NPN DARLINGTON TRANSISTOR                                                                                  
